selection_id,blind_run_id,study_group,domain,task_id,task_sha256,selection_rank,family,difficulty_bin,interaction_mode,artifact_filename,source_commit,agent_model,simulation_id,trial,seed,native_reward
validity-001,tau3-blind-dadb47631da2a6f6,core,airline,30,558c1a3af13f7155c163448a58c7a67697b8820f5bd0e73bacbcd66d39856b6e,1,modification,all_pass,state_change,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,1f41c716-5aae-4c5a-8426-94fe0e74c359,0,626729,1
validity-002,tau3-blind-b220c338480ae68e,core,airline,30,558c1a3af13f7155c163448a58c7a67697b8820f5bd0e73bacbcd66d39856b6e,1,modification,all_pass,state_change,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,dea86025-23e7-421d-883c-2604be9460b7,1,373753,1
validity-003,tau3-blind-2ed56fd9298f6651,core,airline,30,558c1a3af13f7155c163448a58c7a67697b8820f5bd0e73bacbcd66d39856b6e,1,modification,all_pass,state_change,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,991c3170-9891-4c2a-b3b3-bec7eaaf9aeb,2,361454,1
validity-004,tau3-blind-8a83bfeaf43d690a,core,airline,30,558c1a3af13f7155c163448a58c7a67697b8820f5bd0e73bacbcd66d39856b6e,1,modification,all_pass,state_change,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,8702b25f-3ba1-4a90-91e8-351561729b93,3,1567,1
validity-005,tau3-blind-bec4852c7dc2035e,core,airline,30,558c1a3af13f7155c163448a58c7a67697b8820f5bd0e73bacbcd66d39856b6e,1,modification,all_pass,state_change,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,b8320bf8-491f-41bb-a756-bd7f1c85d417,0,626729,1
validity-006,tau3-blind-09d6192b94b3f667,core,airline,30,558c1a3af13f7155c163448a58c7a67697b8820f5bd0e73bacbcd66d39856b6e,1,modification,all_pass,state_change,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,97f867ec-c7df-426b-8ace-2e73427b4337,1,373753,1
validity-007,tau3-blind-23c0f5532170d4b7,core,airline,30,558c1a3af13f7155c163448a58c7a67697b8820f5bd0e73bacbcd66d39856b6e,1,modification,all_pass,state_change,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,538be03d-0c24-4176-ba0e-eef3e6bc3cb5,2,361454,1
validity-008,tau3-blind-592c7e61506ffdd9,core,airline,30,558c1a3af13f7155c163448a58c7a67697b8820f5bd0e73bacbcd66d39856b6e,1,modification,all_pass,state_change,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,2b0c3ae9-4933-44d7-a388-8ad19913d878,3,1567,1
validity-009,tau3-blind-c1990424493de7b0,core,airline,22,8b417f755e9c200307eb5e7e989e008217224a34b20fbaf940b0cdb3602a3f69,2,modification,all_pass,state_change,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,919ff0ea-08ea-4935-a235-1037dd1a0f85,0,626729,1
validity-010,tau3-blind-86a027c8077cb4ed,core,airline,22,8b417f755e9c200307eb5e7e989e008217224a34b20fbaf940b0cdb3602a3f69,2,modification,all_pass,state_change,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,da941195-85d3-4c65-ad45-8db290676312,1,373753,1
validity-011,tau3-blind-196ec64c4a0109f4,core,airline,22,8b417f755e9c200307eb5e7e989e008217224a34b20fbaf940b0cdb3602a3f69,2,modification,all_pass,state_change,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,58109a9c-79ae-4fa4-9387-145ffedb1dbe,2,361454,1
validity-012,tau3-blind-43ae3619b1d04752,core,airline,22,8b417f755e9c200307eb5e7e989e008217224a34b20fbaf940b0cdb3602a3f69,2,modification,all_pass,state_change,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,397a11fb-d77a-422c-8262-b6865d7a9b5e,3,1567,1
validity-013,tau3-blind-9f5cb48a4e09fc88,core,airline,22,8b417f755e9c200307eb5e7e989e008217224a34b20fbaf940b0cdb3602a3f69,2,modification,all_pass,state_change,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,8b63f713-a9a5-42f9-a32e-50e5584d1494,0,626729,1
validity-014,tau3-blind-e101ffbb8d451c2e,core,airline,22,8b417f755e9c200307eb5e7e989e008217224a34b20fbaf940b0cdb3602a3f69,2,modification,all_pass,state_change,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,eae40ac2-6a3b-49f9-ac03-f811d8b094d0,1,373753,1
validity-015,tau3-blind-7d66d90802cda228,core,airline,22,8b417f755e9c200307eb5e7e989e008217224a34b20fbaf940b0cdb3602a3f69,2,modification,all_pass,state_change,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,5a3e98b9-0e1b-4631-8fb7-874db581f912,2,361454,1
validity-016,tau3-blind-0c530ff02440143b,core,airline,22,8b417f755e9c200307eb5e7e989e008217224a34b20fbaf940b0cdb3602a3f69,2,modification,all_pass,state_change,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,4f6e2723-570e-4cc5-913a-592552051c12,3,1567,1
validity-017,tau3-blind-1760ae4cd7435047,core,airline,27,d662e8f4775b2b3bcd9d846c50ac437f5084bfda5d27ffbbc1ae43ec4a8686f6,3,compensation,all_pass,information_or_diagnosis,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,8936ab0c-0fd4-46d3-aadb-392e3c139bd9,0,626729,1
validity-018,tau3-blind-b0390a15db2143f0,core,airline,27,d662e8f4775b2b3bcd9d846c50ac437f5084bfda5d27ffbbc1ae43ec4a8686f6,3,compensation,all_pass,information_or_diagnosis,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,4780dd0a-f50b-4360-b967-6a64afb65ae1,1,373753,1
validity-019,tau3-blind-bdc044e8e9b12576,core,airline,27,d662e8f4775b2b3bcd9d846c50ac437f5084bfda5d27ffbbc1ae43ec4a8686f6,3,compensation,all_pass,information_or_diagnosis,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,96aaefde-2b7e-4d8a-a264-92b310edc17c,2,361454,1
validity-020,tau3-blind-f7721895a39b9a56,core,airline,27,d662e8f4775b2b3bcd9d846c50ac437f5084bfda5d27ffbbc1ae43ec4a8686f6,3,compensation,all_pass,information_or_diagnosis,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,3ce95c6c-d53b-4a0d-95b5-894ab6c21247,3,1567,1
validity-021,tau3-blind-d9eb97f9c97b7694,core,airline,27,d662e8f4775b2b3bcd9d846c50ac437f5084bfda5d27ffbbc1ae43ec4a8686f6,3,compensation,all_pass,information_or_diagnosis,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,e5f0181f-fd90-4df8-8ee5-d857b064a000,0,626729,1
validity-022,tau3-blind-7bb907915db25109,core,airline,27,d662e8f4775b2b3bcd9d846c50ac437f5084bfda5d27ffbbc1ae43ec4a8686f6,3,compensation,all_pass,information_or_diagnosis,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,82702f27-734b-4f75-9db7-6a638c4f33ff,1,373753,1
validity-023,tau3-blind-7f19b3ae9d8fa420,core,airline,27,d662e8f4775b2b3bcd9d846c50ac437f5084bfda5d27ffbbc1ae43ec4a8686f6,3,compensation,all_pass,information_or_diagnosis,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,212a801f-223a-4938-ae82-c1aa9c3fb509,2,361454,1
validity-024,tau3-blind-60b3db35c432b56b,core,airline,27,d662e8f4775b2b3bcd9d846c50ac437f5084bfda5d27ffbbc1ae43ec4a8686f6,3,compensation,all_pass,information_or_diagnosis,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,72c1ea66-5e93-46cd-8553-2b1df1f0e677,3,1567,1
validity-025,tau3-blind-1a86481a7ceb7c23,core,airline,41,8f4c72d36b42eb5f0ac73c7ce2ebf4d336653ec2cace0cfdc5a5b9c5c65db761,4,inquiry_or_refusal,all_pass,information_or_diagnosis,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,efd97529-8fcd-46ff-a16c-6c24b6833a8e,0,626729,1
validity-026,tau3-blind-1df775dd79d07858,core,airline,41,8f4c72d36b42eb5f0ac73c7ce2ebf4d336653ec2cace0cfdc5a5b9c5c65db761,4,inquiry_or_refusal,all_pass,information_or_diagnosis,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,71ae5c3e-5bf9-4e5e-80ac-19859f30928a,1,373753,1
validity-027,tau3-blind-2efb5ee5755f4495,core,airline,41,8f4c72d36b42eb5f0ac73c7ce2ebf4d336653ec2cace0cfdc5a5b9c5c65db761,4,inquiry_or_refusal,all_pass,information_or_diagnosis,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,dacf3e09-107f-4bd5-b193-74e29032d159,2,361454,1
validity-028,tau3-blind-1a1b4f7a4806e9fd,core,airline,41,8f4c72d36b42eb5f0ac73c7ce2ebf4d336653ec2cace0cfdc5a5b9c5c65db761,4,inquiry_or_refusal,all_pass,information_or_diagnosis,claude-opus-4-5_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,anthropic/claude-opus-4-5-20251101,8a6599eb-37f3-4630-9533-6a15a039fac0,3,1567,1
validity-029,tau3-blind-d599ca5edf2e58c2,core,airline,41,8f4c72d36b42eb5f0ac73c7ce2ebf4d336653ec2cace0cfdc5a5b9c5c65db761,4,inquiry_or_refusal,all_pass,information_or_diagnosis,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,20db3d66-fe1a-4b55-a536-cdb5b87d3cfa,0,626729,1
validity-030,tau3-blind-0baea32d01247803,core,airline,41,8f4c72d36b42eb5f0ac73c7ce2ebf4d336653ec2cace0cfdc5a5b9c5c65db761,4,inquiry_or_refusal,all_pass,information_or_diagnosis,gpt-5.2_high_airline_gpt-5.2_4trials.json,7324fb57cb6819e77937c79964db916f5b068e31,gpt-5.2,e9e20c57-dffc-4f48-9194-899378cc8005,1,373753,1
